"Name","Rank","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","LFQ intensity DMSO1","LFQ intensity DMSO2","LFQ intensity DMSO3","LFQ intensity Diclofenac1","LFQ intensity Diclofenac2","LFQ intensity Diclofenac3"
"Bacteria","Superkingdom","Bacteria","","","","","","","","3.11698243E11","3.1484082436E11","3.1314017166E11","2.938954647E11","2.9997855709E11","2.8648357844E11"
"Coriobacteriales","Order","Bacteria","","Actinobacteria","Coriobacteriia","Coriobacteriales","","","","1.992282568E10","2.291570531E10","1.95168144E10","2.242880947E10","2.31166247E10","2.29171022E10"
"Coriobacteriia","Class","Bacteria","","Actinobacteria","Coriobacteriia","","","","","2.249729788E10","2.539593191E10","2.269026594E10","2.308423477E10","2.3733813E10","2.34912829E10"
"Afipia","Genus","Bacteria","","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","","0.0","3.188E7","3.7845E7","2.3559E7","2.0423E7","1.7788E7"
"Oribacterium sinus","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium","Oribacterium sinus","1.8572E7","3.6379E7","2.595E7","1.466E7","0.0","2.6855E7"
"Dialister","Genus","Bacteria","","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","","1.2173E8","1.7991E8","1.3753E8","7.6543E7","1.9446E8","6.2063E7"
"Bifidobacteriales","Order","Bacteria","","Actinobacteria","Actinobacteria","Bifidobacteriales","","","","7.239285E8","7.417632E8","6.916405E8","9.669771E8","8.693909E8","7.949001E8"
"Oscillibacter","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","","3.501425E8","2.976113E8","2.471944E8","1.109935E8","1.587819E8","9.02937E7"
"Corynebacteriales","Order","Bacteria","","Actinobacteria","Actinobacteria","Corynebacteriales","","","","2.6285E7","2.4125E7","2.8789E7","3.282E7","2.6767E7","2.9678E7"
"Streptomycetaceae","Family","Bacteria","","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","","","5.1659E7","5.2552E7","6.6742E7","4.0023E7","3.9946E7","1.0842E8"
"Streptomycetales","Order","Bacteria","","Actinobacteria","Actinobacteria","Streptomycetales","","","","5.1659E7","5.2552E7","6.6742E7","4.0023E7","3.9946E7","1.0842E8"
"Bacteroides pyogenes","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides pyogenes","0.0","1.1999E7","9869600.0","1.1018E7","0.0","1.1085E7"
"Hyphomonadaceae","Family","Bacteria","","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","","","0.0","0.0","0.0","0.0","2.7878E7","3.3799E7"
"Dietzia","Genus","Bacteria","","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","","2.6285E7","2.4125E7","2.8789E7","3.282E7","2.6767E7","2.9678E7"
"Bacteroides plebeius","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides plebeius","4447400.0","5752700.0","4260000.0","8103600.0","0.0","0.0"
"Bacteroides coprocola","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides coprocola","1.42527E7","0.0","0.0","5047400.0","4677700.0","0.0"
